subject,time,session,list,serial_pos,type,item,recalled
LTP000,30784.486793402764,1,1,1,WORD,MALESUADA,0
LTP000,31822.111297895997,1,1,2,WORD,ELEIFEND,0
LTP000,35500.93895387388,1,1,3,WORD,ID,1
LTP000,36735.417249679005,1,1,4,WORD,FUSCE,1
LTP000,38569.03534567438,1,2,1,WORD,ALIQUET,1
LTP000,39008.143424425296,1,2,2,WORD,EGESTAS,1
LTP000,40861.63879743107,1,2,3,WORD,CURSUS,1
LTP000,44067.27566913768,1,2,4,WORD,DICTUM,1
LTP000,46445.52910763486,1,3,1,WORD,ADIPISCING,0
LTP000,48538.34261609311,1,3,2,WORD,FRINGILLA,0
LTP000,49874.17459313567,1,3,3,WORD,LIBERO,0
LTP000,51120.85958984077,1,3,4,WORD,FINIBUS,1
LTP000,52464.735854235216,1,4,1,WORD,CONGUE,1
LTP000,54105.415574258965,1,4,2,WORD,EU,1
LTP000,57140.31454044411,1,4,3,WORD,LACUS,1
LTP000,58635.42733449221,1,4,4,WORD,LOREM,1
