subject,time,session,list,serial_pos,type,item,recalled
LTP000,59722.18642504506,2,1,1,WORD,FELIS,1
LTP000,63028.38120241058,2,1,2,WORD,CONVALLIS,0
LTP000,64703.17258575453,2,1,3,WORD,IMPERDIET,1
LTP000,67583.88975710007,2,1,4,WORD,FEUGIAT,1
LTP000,68998.10600184728,2,2,1,WORD,SUSPENDISSE,0
LTP000,71195.4129893867,2,2,2,WORD,AT,1
LTP000,73017.38418139683,2,2,3,WORD,LAOREET,1
LTP000,75004.9283231011,2,2,4,WORD,DUIS,0
LTP000,76614.20923411564,2,3,1,WORD,EX,0
LTP000,77145.67172956321,2,3,2,WORD,EFFICITUR,1
LTP000,79384.36954331824,2,3,3,WORD,MAURIS,1
LTP000,83008.18949341481,2,3,4,WORD,LUCTUS,0
LTP000,83027.64675304854,2,4,1,WORD,MASSA,1
LTP000,85923.37137969823,2,4,2,WORD,AUGUE,0
LTP000,86411.12282293697,2,4,3,WORD,ET,1
LTP000,88975.51250353802,2,4,4,WORD,DUI,0
