Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Karim Wagner,dk DEN,FW,Leeds United,eng Premier League,27,1996,19.9,588,721,81.6,10466,4905,311,367,84.7,186,229,81.2,68,125,54.4,0,0.6,0.7,-0.6,4,80,5,2,43,Matches
2,Yusuf Müller,be BEL,"DF,MF",Manchester Utd,eng Premier League,29,1994,6.3,195,229,85.2,3844,1249,93,104,89.4,78,87,89.7,25,38,65.8,0,0.0,0.2,0.0,3,21,3,0,11,Matches
3,Nicolas Kowalski,eng ENG,DF,Arsenal,eng Premier League,24,1999,13.3,726,848,85.6,16680,5983,402,409,98.3,243,330,73.6,51,109,46.8,1,1.7,1.9,-0.7,5,97,8,1,70,Matches
4,Anton Moreau,co COL,GK,Bournemouth,eng Premier League,26,1997,16.2,875,1114,78.5,14284,3782,479,479,100.0,449,563,79.8,49,72,68.1,0,1.0,1.5,-1.0,0,58,0,0,82,Matches
5,Julien Horvat,pt POR,MF,Arsenal,eng Premier League,25,1998,3.1,155,173,89.6,3040,1387,68,73,93.2,57,67,85.1,18,33,54.5,0,0.0,0.1,0.0,4,18,4,1,14,Matches
6,Pablo Petit,fr FRA,DF,Southampton,eng Premier League,26,1997,2.3,93,117,79.5,2186,968,56,63,88.9,44,48,91.7,3,6,50.0,0,0.3,0.0,-0.3,1,10,2,0,12,Matches
7,Callum Nielsen,jp JPN,FW,Manchester Utd,eng Premier League,30,1993,12.2,478,649,73.7,7148,2886,286,318,89.9,208,236,88.1,57,95,60.0,0,0.1,0.0,-0.1,9,46,18,5,55,Matches
8,Daniel Murphy,es ESP,MF,West Ham,eng Premier League,31,1992,5.6,376,384,97.9,5729,2133,143,164,87.2,130,161,80.7,32,59,54.2,0,0.0,0.3,0.0,1,26,1,1,30,Matches
9,Mason Bianchi,ch SUI,MF,Leeds United,eng Premier League,20,2003,4.5,211,225,93.8,4901,1304,103,109,94.5,66,86,76.7,20,30,66.7,1,0.9,0.9,0.1,3,24,4,0,21,Matches
10,Youssef Cissé,ma MAR,"MF,FW",Brentford,eng Premier League,22,2001,6.3,326,396,82.3,4757,1388,157,164,95.7,160,182,87.9,34,50,68.0,1,1.9,1.7,-0.9,6,44,11,2,48,Matches
